symbol,raw_lattice_anchor_ts_utc,interval_code,sensitivity_mode,selection_status,selected_template_time_shift_days,effective_schedule_origin_ts_utc,extension_sequence_index,marker_set,marker_ratio,marker_code,marker_kind,expected_ts_utc,observed_candle_open_ts_utc,observed_price,marker_residual_hours,matched
TAO,2026-03-22T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,-10.0,2026-03-12T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2026-05-05T23:28:19Z,2026-05-05T00:00:00Z,260.76,0.0,True
TAO,2026-03-22T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-10.0,2026-03-12T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2026-04-07T17:05:16Z,2026-04-07T00:00:00Z,294.44,0.0,True
TAO,2026-03-22T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-10.0,2026-03-12T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2026-04-14T23:28:19Z,2026-04-14T00:00:00Z,221.99,0.0,True
TAO,2026-03-22T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-10.0,2026-03-12T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2026-05-05T23:28:19Z,2026-05-05T00:00:00Z,260.76,0.0,True
TAO,2026-03-22T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,-10.0,2026-03-12T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2026-04-07T17:05:16Z,2026-04-07T00:00:00Z,294.44,0.0,True
TAO,2026-03-22T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,-10.0,2026-03-12T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2026-04-14T23:28:19Z,2026-04-14T00:00:00Z,221.99,0.0,True
TAO,2026-03-22T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,-10.0,2026-03-12T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2026-05-05T23:28:19Z,2026-05-05T00:00:00Z,260.76,0.0,True
TAO,2026-05-03T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,-10.5,2026-04-22T12:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2026-05-19T05:05:16Z,2026-05-19T00:00:00Z,227.27,0.0,True
TAO,2026-05-03T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,-10.5,2026-04-22T12:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2026-05-26T11:28:19Z,2026-05-26T00:00:00Z,250.55,0.0,True
TAO,2026-05-03T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,-10.5,2026-04-22T12:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2026-06-16T11:28:19Z,2026-06-16T00:00:00Z,233.7,0.0,True
TAO,2026-05-03T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-10.5,2026-04-22T12:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2026-05-19T05:05:16Z,2026-05-19T00:00:00Z,227.27,0.0,True
TAO,2026-05-03T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-10.5,2026-04-22T12:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2026-05-26T11:28:19Z,2026-05-26T00:00:00Z,250.55,0.0,True
